chunk_id,session_id,sequence_num,trans_dt,source_id,cur_chunk,cur_chunk_start,cur_chunk_end,ground_truth_label,ground_truth_label_num,ground_truth_label_c,major_trans_timestamp,first_sent_to_second_state
0,0,1,2024-04-27 20:49:10.314766,0,"In action, when Steph Curry comes to town, he also brings a lot of excitement, the pregame warm-up, and then autographs, a lot of them, video, security. Kev Thomas has been ",00:00:00.000001,00:00:15.000031,SPORTS_BROADCASTING,0,0,,
1,0,2,2024-04-27 20:49:10.331748,0," very hot himself. Thomas on a serious scoring streak right now for Brooklyn. It's the second and final meeting between the Nets and the Warriors, and we've got it for you right here on YES.

Now welcome for tonight, everybody. Ian Eagle, Sarah Kustok. Meghan Triplett ",00:00:15.000032,00:00:30.000426,SPORTS_BROADCASTING,0,0,,
2,0,3,2024-04-27 20:49:10.349749,0," joins us as well. Injury update, Ben Simmons will not play tonight. It's the front end of a back-to-back, Dallas coming to town tomorrow night  on his back, the Nets do expect him to be in the lineup 24 hours from now. Let's focus on this matchup, ",00:00:30.000427,00:00:45.000108,SPORTS_BROADCASTING,0,0,,
3,0,4,2024-04-27 20:49:10.366748,0," and what we've seen from Cam Thomas. It's been extraordinary. The scoring is real, and his confidence is at an all-time high right now.

And it doesn't matter what defenses do against him, because make no mistake, opponents are ",00:00:45.000109,00:01:00.000020,SPORTS_BROADCASTING,0,0,,
4,0,5,2024-04-27 20:49:10.391757,0," game-planning for Thomas when he has the ball. There are different players, different coverages, multiple guys, and he still finds his  on the score. He's got highlight after highlight, tough shots that he continues to make. And it was a balance that Brooklyn ",00:01:00.000021,00:01:15.000583,SPORTS_BROADCASTING,0,0,,
5,0,6,2024-04-27 20:49:10.411022,0," desperately needed, how he was able to get to the hoop, knock it down from the outside, and just pick apart a Philadelphia defense. Fun to watch. With Cam Thomas, it is always a great thing, when you see him 

Let's go behind the numbers, presented by the New York Lottery, a 40-piece for Thomas against Philadelphia. Seventh career day with 40 or more points, third this season, fifth most games with 40 or more points in franchise history. Vince Carter, number one. ",00:01:15.000584,00:01:45.000260,SPORTS_BROADCASTING,0,0,,
6,0,7,2024-04-27 20:49:10.428017,0," He did it 17 times in a career high, 5 straight games, with 25 or more points for Thomas.

So the Nets are trying to string together some wins here. A victory would get them back to 500 at home. Meanwhile, the Warriors are just trying to ",00:01:45.000261,00:02:00.000029,SPORTS_BROADCASTING,0,0,,
7,0,8,2024-04-27 20:49:10.446036,0," hang in it in the Western Conference, just hoping to get to the play. And obviously, if they can go on a run, maybe they can qualify for a playoff spot. But this is not what we're accustomed to with Golden State. Steph Curry, the numbers are still prolific, they just have not ",00:02:00.000030,00:02:15.000069,SPORTS_BROADCASTING,0,0,,
8,0,9,2024-04-27 20:49:10.464020,0," translated into wins consistently.

And Steph Curry just named to his 10th All-Star game, and he is playing like a supernova. It is tough for anyone to try and slow him down. Case in point, Saturday night at Atlanta, and he was doing anything ",00:02:15.000070,00:02:30.000278,SPORTS_BROADCASTING,0,0,,
9,0,10,2024-04-27 20:49:10.481018,0," he wanted. And if you watch how Steph Curry moves with the ball, without the ball, it doesn't matter, there is a fluid nature to the skill set that he brings to the table, and also how he just has a patience, a poise, a quickness, that he never gets fed up, ",00:02:30.000279,00:02:45.000114,SPORTS_BROADCASTING,0,0,,
