block_id,session_id,sequence_num,trans_dt,source_id,cur_chunk,cur_chunk_start,cur_chunk_end,ground_truth_label,ground_truth_label_num,ground_truth_label_c,chunk_id,chunk_overlap_ind
0,0,1,2024-04-27 20:50:52.919739,0,"In action, when Steph Curry comes to town, he also brings a lot of excitement, the pregame warm-up, and then autographs, a lot of them, video, security.",00:00:00.000001,00:00:15.000031,SPORTS_BROADCASTING,0,0,0,N
1,0,2,2024-04-27 20:50:52.976077,0,Kev Thomas has been very hot himself.,00:00:15.000032,00:00:30.000426,SPORTS_BROADCASTING,0,0,1,Y
2,0,3,2024-04-27 20:50:52.988086,0,Thomas on a serious scoring streak right now for Brooklyn.,00:00:15.000032,00:00:30.000426,SPORTS_BROADCASTING,0,0,1,N
3,0,4,2024-04-27 20:50:53.005004,0,"It's the second and final meeting between the Nets and the Warriors, and we've got it for you right here on YES.",00:00:15.000032,00:00:30.000426,SPORTS_BROADCASTING,0,0,1,N
4,0,5,2024-04-27 20:50:53.016775,0,"Now welcome for tonight, everybody.",00:00:15.000032,00:00:30.000426,SPORTS_BROADCASTING,0,0,1,N
5,0,6,2024-04-27 20:50:53.029638,0,"Ian Eagle, Sarah Kustok.",00:00:15.000032,00:00:30.000426,SPORTS_BROADCASTING,0,0,1,N
6,0,7,2024-04-27 20:50:53.087524,0,Meghan Triplett joins us as well.,00:00:30.000427,00:00:45.000108,SPORTS_BROADCASTING,0,0,2,Y
7,0,8,2024-04-27 20:50:53.105729,0,"Injury update, Ben Simmons will not play tonight.",00:00:30.000427,00:00:45.000108,SPORTS_BROADCASTING,0,0,2,N
8,0,9,2024-04-27 20:50:53.117728,0,"It's the front end of a back-to-back, Dallas coming to town tomorrow night  on his back, the Nets do expect him to be in the lineup 24 hours from now.",00:00:30.000427,00:00:45.000108,SPORTS_BROADCASTING,0,0,2,N
9,0,10,2024-04-27 20:50:53.173546,0,"Let's focus on this matchup, and what we've seen from Cam Thomas.",00:00:45.000109,00:01:00.000020,SPORTS_BROADCASTING,0,0,3,Y
10,0,11,2024-04-27 20:50:53.186722,0,It's been extraordinary.,00:00:45.000109,00:01:00.000020,SPORTS_BROADCASTING,0,0,3,N
11,0,12,2024-04-27 20:50:53.199460,0,"The scoring is real, and his confidence is at an all-time high right now.",00:00:45.000109,00:01:00.000020,SPORTS_BROADCASTING,0,0,3,N
12,0,13,2024-04-27 20:50:53.255651,0,"And it doesn't matter what defenses do against him, because make no mistake, opponents are game-planning for Thomas when he has the ball.",00:01:00.000021,00:01:15.000583,SPORTS_BROADCASTING,0,0,4,Y
13,0,14,2024-04-27 20:50:53.267783,0,"There are different players, different coverages, multiple guys, and he still finds his  on the score.",00:01:00.000021,00:01:15.000583,SPORTS_BROADCASTING,0,0,4,N
14,0,15,2024-04-27 20:50:53.279094,0,"He's got highlight after highlight, tough shots that he continues to make.",00:01:00.000021,00:01:15.000583,SPORTS_BROADCASTING,0,0,4,N
15,0,16,2024-04-27 20:50:53.335399,0,"And it was a balance that Brooklyn desperately needed, how he was able to get to the hoop, knock it down from the outside, and just pick apart a Philadelphia defense.",00:01:15.000584,00:01:45.000260,SPORTS_BROADCASTING,0,0,5,Y
16,0,17,2024-04-27 20:50:53.348052,0,Fun to watch.,00:01:15.000584,00:01:45.000260,SPORTS_BROADCASTING,0,0,5,N
17,0,18,2024-04-27 20:50:53.363419,0,"With Cam Thomas, it is always a great thing, when you see him 

Let's go behind the numbers, presented by the New York Lottery, a 40-piece for Thomas against Philadelphia.",00:01:15.000584,00:01:45.000260,SPORTS_BROADCASTING,0,0,5,N
18,0,19,2024-04-27 20:50:53.380807,0,"Seventh career day with 40 or more points, third this season, fifth most games with 40 or more points in franchise history.",00:01:15.000584,00:01:45.000260,SPORTS_BROADCASTING,0,0,5,N
19,0,20,2024-04-27 20:50:53.394822,0,"Vince Carter, number one.",00:01:15.000584,00:01:45.000260,SPORTS_BROADCASTING,0,0,5,N
20,0,21,2024-04-27 20:50:53.456514,0," He did it 17 times in a career high, 5 straight games, with 25 or more points for Thomas.",00:01:45.000261,00:02:00.000029,SPORTS_BROADCASTING,0,0,6,N
21,0,22,2024-04-27 20:50:53.469282,0,So the Nets are trying to string together some wins here.,00:01:45.000261,00:02:00.000029,SPORTS_BROADCASTING,0,0,6,N
